orig.ident	nCount_RNA	nFeature_RNA	Group	Sample	Condition
sample_11_Cell16_Group2	SCSimulation	49046	900	Group2	sample_11	Condition2
sample_11_Cell17_Group2	SCSimulation	54131	903	Group2	sample_11	Condition2
sample_11_Cell18_Group2	SCSimulation	60807	907	Group2	sample_11	Condition2
sample_11_Cell19_Group2	SCSimulation	50401	905	Group2	sample_11	Condition2
sample_11_Cell20_Group2	SCSimulation	56842	894	Group2	sample_11	Condition2
sample_11_Cell21_Group2	SCSimulation	73619	918	Group2	sample_11	Condition2
sample_11_Cell22_Group2	SCSimulation	50177	890	Group2	sample_11	Condition2
sample_11_Cell23_Group2	SCSimulation	63906	908	Group2	sample_11	Condition2
sample_11_Cell24_Group2	SCSimulation	76161	916	Group2	sample_11	Condition2
sample_12_Cell1_Group2	SCSimulation	53108	900	Group2	sample_12	Condition1
sample_12_Cell2_Group2	SCSimulation	54088	897	Group2	sample_12	Condition1
sample_12_Cell3_Group2	SCSimulation	105927	932	Group2	sample_12	Condition1
sample_12_Cell4_Group2	SCSimulation	51955	899	Group2	sample_12	Condition1
sample_12_Cell5_Group2	SCSimulation	56778	906	Group2	sample_12	Condition1
sample_12_Cell6_Group2	SCSimulation	59534	895	Group2	sample_12	Condition1
sample_12_Cell7_Group2	SCSimulation	64194	902	Group2	sample_12	Condition1
sample_12_Cell8_Group2	SCSimulation	58554	908	Group2	sample_12	Condition1
sample_12_Cell9_Group2	SCSimulation	60070	910	Group2	sample_12	Condition1
sample_12_Cell10_Group2	SCSimulation	56006	904	Group2	sample_12	Condition1
sample_12_Cell11_Group2	SCSimulation	84904	935	Group2	sample_12	Condition1
sample_12_Cell12_Group2	SCSimulation	63226	905	Group2	sample_12	Condition1
sample_12_Cell13_Group2	SCSimulation	64855	914	Group2	sample_12	Condition1
sample_12_Cell14_Group2	SCSimulation	52401	891	Group2	sample_12	Condition1
sample_12_Cell15_Group2	SCSimulation	54448	904	Group2	sample_12	Condition1
sample_12_Cell16_Group2	SCSimulation	68286	920	Group2	sample_12	Condition1
sample_12_Cell17_Group2	SCSimulation	72100	921	Group2	sample_12	Condition1
sample_12_Cell18_Group2	SCSimulation	57462	898	Group2	sample_12	Condition1
sample_12_Cell19_Group2	SCSimulation	54381	897	Group2	sample_12	Condition1
sample_12_Cell20_Group2	SCSimulation	58462	898	Group2	sample_12	Condition1
sample_12_Cell21_Group2	SCSimulation	57645	906	Group2	sample_12	Condition1
sample_12_Cell22_Group2	SCSimulation	59312	895	Group2	sample_12	Condition1
sample_12_Cell23_Group2	SCSimulation	66753	914	Group2	sample_12	Condition1
sample_12_Cell24_Group2	SCSimulation	56621	911	Group2	sample_12	Condition1
sample_13_Cell1_Group2	SCSimulation	45442	892	Group2	sample_13	Condition2
sample_13_Cell2_Group2	SCSimulation	64807	905	Group2	sample_13	Condition2
sample_13_Cell3_Group2	SCSimulation	62816	915	Group2	sample_13	Condition2
sample_13_Cell4_Group2	SCSimulation	61985	915	Group2	sample_13	Condition2
sample_13_Cell5_Group2	SCSimulation	78373	924	Group2	sample_13	Condition2
sample_13_Cell6_Group2	SCSimulation	46797	896	Group2	sample_13	Condition2
sample_13_Cell7_Group2	SCSimulation	58789	906	Group2	sample_13	Condition2
sample_13_Cell8_Group2	SCSimulation	63290	908	Group2	sample_13	Condition2
sample_13_Cell9_Group2	SCSimulation	80235	920	Group2	sample_13	Condition2
sample_13_Cell10_Group2	SCSimulation	74342	922	Group2	sample_13	Condition2
sample_13_Cell11_Group2	SCSimulation	83146	922	Group2	sample_13	Condition2
sample_13_Cell12_Group2	SCSimulation	72037	915	Group2	sample_13	Condition2
sample_13_Cell13_Group2	SCSimulation	64452	904	Group2	sample_13	Condition2
sample_13_Cell14_Group2	SCSimulation	46399	893	Group2	sample_13	Condition2
sample_13_Cell15_Group2	SCSimulation	46819	899	Group2	sample_13	Condition2
sample_13_Cell16_Group2	SCSimulation	69104	915	Group2	sample_13	Condition2
sample_13_Cell17_Group2	SCSimulation	68252	906	Group2	sample_13	Condition2
sample_13_Cell18_Group2	SCSimulation	53591	904	Group2	sample_13	Condition2
sample_13_Cell19_Group2	SCSimulation	80934	918	Group2	sample_13	Condition2
sample_13_Cell20_Group2	SCSimulation	92977	931	Group2	sample_13	Condition2
sample_13_Cell21_Group2	SCSimulation	74413	923	Group2	sample_13	Condition2
sample_13_Cell22_Group2	SCSimulation	85662	916	Group2	sample_13	Condition2
sample_13_Cell23_Group2	SCSimulation	47291	897	Group2	sample_13	Condition2
sample_13_Cell24_Group2	SCSimulation	70843	910	Group2	sample_13	Condition2
sample_14_Cell1_Group2	SCSimulation	65303	916	Group2	sample_14	Condition2
sample_14_Cell2_Group2	SCSimulation	77613	912	Group2	sample_14	Condition2
sample_14_Cell3_Group2	SCSimulation	55849	905	Group2	sample_14	Condition2
sample_14_Cell4_Group2	SCSimulation	54540	911	Group2	sample_14	Condition2
sample_14_Cell5_Group2	SCSimulation	41986	890	Group2	sample_14	Condition2
sample_14_Cell6_Group2	SCSimulation	82599	922	Group2	sample_14	Condition2
sample_14_Cell7_Group2	SCSimulation	43349	877	Group2	sample_14	Condition2
sample_14_Cell8_Group2	SCSimulation	56113	898	Group2	sample_14	Condition2
sample_14_Cell9_Group2	SCSimulation	77743	926	Group2	sample_14	Condition2
sample_14_Cell10_Group2	SCSimulation	60159	908	Group2	sample_14	Condition2
sample_14_Cell11_Group2	SCSimulation	62665	915	Group2	sample_14	Condition2
sample_14_Cell12_Group2	SCSimulation	60556	920	Group2	sample_14	Condition2
sample_14_Cell13_Group2	SCSimulation	62758	910	Group2	sample_14	Condition2
sample_14_Cell14_Group2	SCSimulation	92634	933	Group2	sample_14	Condition2
sample_14_Cell15_Group2	SCSimulation	58051	909	Group2	sample_14	Condition2
sample_14_Cell16_Group2	SCSimulation	58318	905	Group2	sample_14	Condition2
sample_14_Cell17_Group2	SCSimulation	52676	909	Group2	sample_14	Condition2
sample_14_Cell18_Group2	SCSimulation	62315	905	Group2	sample_14	Condition2
sample_14_Cell19_Group2	SCSimulation	76753	912	Group2	sample_14	Condition2
sample_14_Cell20_Group2	SCSimulation	53847	904	Group2	sample_14	Condition2
sample_14_Cell21_Group2	SCSimulation	42436	888	Group2	sample_14	Condition2
sample_14_Cell22_Group2	SCSimulation	45529	904	Group2	sample_14	Condition2
sample_14_Cell23_Group2	SCSimulation	91219	927	Group2	sample_14	Condition2
sample_14_Cell24_Group2	SCSimulation	50493	902	Group2	sample_14	Condition2
sample_15_Cell1_Group2	SCSimulation	97488	923	Group2	sample_15	Condition1
sample_15_Cell2_Group2	SCSimulation	56435	899	Group2	sample_15	Condition1
sample_15_Cell3_Group2	SCSimulation	62770	909	Group2	sample_15	Condition1
sample_15_Cell4_Group2	SCSimulation	43701	901	Group2	sample_15	Condition1
sample_15_Cell5_Group2	SCSimulation	47985	903	Group2	sample_15	Condition1
sample_15_Cell6_Group2	SCSimulation	70231	917	Group2	sample_15	Condition1
sample_15_Cell7_Group2	SCSimulation	43329	901	Group2	sample_15	Condition1
sample_15_Cell8_Group2	SCSimulation	70506	917	Group2	sample_15	Condition1
sample_15_Cell9_Group2	SCSimulation	63085	910	Group2	sample_15	Condition1
sample_15_Cell10_Group2	SCSimulation	62301	912	Group2	sample_15	Condition1
sample_15_Cell11_Group2	SCSimulation	53194	903	Group2	sample_15	Condition1
sample_15_Cell12_Group2	SCSimulation	68172	916	Group2	sample_15	Condition1
