orig.ident	nCount_RNA	nFeature_RNA	Group	Sample	Condition
sample_08_Cell3_Group3	SCSimulation	61270	913	Group3	sample_08	Condition2
sample_08_Cell4_Group3	SCSimulation	57876	899	Group3	sample_08	Condition2
sample_08_Cell5_Group3	SCSimulation	54703	891	Group3	sample_08	Condition2
sample_08_Cell6_Group3	SCSimulation	54212	887	Group3	sample_08	Condition2
sample_08_Cell7_Group3	SCSimulation	69292	911	Group3	sample_08	Condition2
sample_08_Cell8_Group3	SCSimulation	48174	894	Group3	sample_08	Condition2
sample_08_Cell9_Group3	SCSimulation	49446	897	Group3	sample_08	Condition2
sample_08_Cell10_Group3	SCSimulation	62810	912	Group3	sample_08	Condition2
sample_08_Cell11_Group3	SCSimulation	51942	880	Group3	sample_08	Condition2
sample_08_Cell12_Group3	SCSimulation	58550	902	Group3	sample_08	Condition2
sample_08_Cell13_Group3	SCSimulation	61960	899	Group3	sample_08	Condition2
sample_09_Cell1_Group3	SCSimulation	56985	898	Group3	sample_09	Condition2
sample_09_Cell2_Group3	SCSimulation	44604	886	Group3	sample_09	Condition2
sample_09_Cell3_Group3	SCSimulation	57308	901	Group3	sample_09	Condition2
sample_09_Cell4_Group3	SCSimulation	82514	918	Group3	sample_09	Condition2
sample_09_Cell5_Group3	SCSimulation	65788	910	Group3	sample_09	Condition2
sample_09_Cell6_Group3	SCSimulation	54134	893	Group3	sample_09	Condition2
sample_09_Cell7_Group3	SCSimulation	60966	901	Group3	sample_09	Condition2
sample_09_Cell8_Group3	SCSimulation	78261	924	Group3	sample_09	Condition2
sample_09_Cell9_Group3	SCSimulation	82052	916	Group3	sample_09	Condition2
sample_09_Cell10_Group3	SCSimulation	70858	914	Group3	sample_09	Condition2
sample_09_Cell11_Group3	SCSimulation	35346	875	Group3	sample_09	Condition2
sample_09_Cell12_Group3	SCSimulation	58664	899	Group3	sample_09	Condition2
sample_09_Cell13_Group3	SCSimulation	60796	910	Group3	sample_09	Condition2
sample_10_Cell1_Group3	SCSimulation	65159	913	Group3	sample_10	Condition1
sample_10_Cell2_Group3	SCSimulation	58829	906	Group3	sample_10	Condition1
sample_10_Cell3_Group3	SCSimulation	69167	907	Group3	sample_10	Condition1
sample_10_Cell4_Group3	SCSimulation	54405	903	Group3	sample_10	Condition1
sample_10_Cell5_Group3	SCSimulation	69536	908	Group3	sample_10	Condition1
sample_10_Cell6_Group3	SCSimulation	81858	922	Group3	sample_10	Condition1
sample_10_Cell7_Group3	SCSimulation	50792	893	Group3	sample_10	Condition1
sample_10_Cell8_Group3	SCSimulation	58284	895	Group3	sample_10	Condition1
sample_10_Cell9_Group3	SCSimulation	50954	889	Group3	sample_10	Condition1
sample_10_Cell10_Group3	SCSimulation	57247	903	Group3	sample_10	Condition1
sample_10_Cell11_Group3	SCSimulation	67943	909	Group3	sample_10	Condition1
sample_10_Cell12_Group3	SCSimulation	65227	912	Group3	sample_10	Condition1
sample_10_Cell13_Group3	SCSimulation	82956	927	Group3	sample_10	Condition1
sample_11_Cell1_Group3	SCSimulation	57938	902	Group3	sample_11	Condition2
sample_11_Cell2_Group3	SCSimulation	50820	894	Group3	sample_11	Condition2
sample_11_Cell3_Group3	SCSimulation	80253	927	Group3	sample_11	Condition2
sample_11_Cell4_Group3	SCSimulation	60008	908	Group3	sample_11	Condition2
sample_11_Cell5_Group3	SCSimulation	57892	910	Group3	sample_11	Condition2
sample_11_Cell6_Group3	SCSimulation	52690	907	Group3	sample_11	Condition2
sample_11_Cell7_Group3	SCSimulation	51622	905	Group3	sample_11	Condition2
sample_11_Cell8_Group3	SCSimulation	66796	907	Group3	sample_11	Condition2
sample_11_Cell9_Group3	SCSimulation	50017	903	Group3	sample_11	Condition2
sample_11_Cell10_Group3	SCSimulation	61143	910	Group3	sample_11	Condition2
sample_11_Cell11_Group3	SCSimulation	65827	908	Group3	sample_11	Condition2
sample_11_Cell12_Group3	SCSimulation	90253	923	Group3	sample_11	Condition2
sample_11_Cell13_Group3	SCSimulation	64231	909	Group3	sample_11	Condition2
sample_12_Cell1_Group3	SCSimulation	51765	904	Group3	sample_12	Condition1
sample_12_Cell2_Group3	SCSimulation	85850	919	Group3	sample_12	Condition1
sample_12_Cell3_Group3	SCSimulation	45716	879	Group3	sample_12	Condition1
sample_12_Cell4_Group3	SCSimulation	67752	910	Group3	sample_12	Condition1
sample_12_Cell5_Group3	SCSimulation	62146	904	Group3	sample_12	Condition1
sample_12_Cell6_Group3	SCSimulation	57998	910	Group3	sample_12	Condition1
sample_12_Cell7_Group3	SCSimulation	65285	910	Group3	sample_12	Condition1
sample_12_Cell8_Group3	SCSimulation	89459	927	Group3	sample_12	Condition1
sample_12_Cell9_Group3	SCSimulation	71159	922	Group3	sample_12	Condition1
sample_12_Cell10_Group3	SCSimulation	60362	909	Group3	sample_12	Condition1
sample_12_Cell11_Group3	SCSimulation	34023	864	Group3	sample_12	Condition1
sample_12_Cell12_Group3	SCSimulation	47364	903	Group3	sample_12	Condition1
sample_12_Cell13_Group3	SCSimulation	56709	897	Group3	sample_12	Condition1
sample_13_Cell1_Group3	SCSimulation	54622	900	Group3	sample_13	Condition2
sample_13_Cell2_Group3	SCSimulation	59519	908	Group3	sample_13	Condition2
sample_13_Cell3_Group3	SCSimulation	54494	899	Group3	sample_13	Condition2
sample_13_Cell4_Group3	SCSimulation	66686	903	Group3	sample_13	Condition2
sample_13_Cell5_Group3	SCSimulation	52451	892	Group3	sample_13	Condition2
sample_13_Cell6_Group3	SCSimulation	71159	911	Group3	sample_13	Condition2
sample_13_Cell7_Group3	SCSimulation	61595	904	Group3	sample_13	Condition2
sample_13_Cell8_Group3	SCSimulation	50637	905	Group3	sample_13	Condition2
sample_13_Cell9_Group3	SCSimulation	63686	907	Group3	sample_13	Condition2
sample_13_Cell10_Group3	SCSimulation	69156	910	Group3	sample_13	Condition2
sample_13_Cell11_Group3	SCSimulation	71105	917	Group3	sample_13	Condition2
sample_13_Cell12_Group3	SCSimulation	56400	896	Group3	sample_13	Condition2
sample_13_Cell13_Group3	SCSimulation	42881	881	Group3	sample_13	Condition2
sample_14_Cell1_Group3	SCSimulation	72126	910	Group3	sample_14	Condition2
sample_14_Cell2_Group3	SCSimulation	60183	904	Group3	sample_14	Condition2
sample_14_Cell3_Group3	SCSimulation	50340	895	Group3	sample_14	Condition2
sample_14_Cell4_Group3	SCSimulation	63950	904	Group3	sample_14	Condition2
sample_14_Cell5_Group3	SCSimulation	66296	914	Group3	sample_14	Condition2
sample_14_Cell6_Group3	SCSimulation	48315	898	Group3	sample_14	Condition2
sample_14_Cell7_Group3	SCSimulation	53241	894	Group3	sample_14	Condition2
sample_14_Cell8_Group3	SCSimulation	104385	935	Group3	sample_14	Condition2
sample_14_Cell9_Group3	SCSimulation	45937	895	Group3	sample_14	Condition2
sample_14_Cell10_Group3	SCSimulation	62319	901	Group3	sample_14	Condition2
sample_14_Cell11_Group3	SCSimulation	51288	894	Group3	sample_14	Condition2
sample_14_Cell12_Group3	SCSimulation	43752	887	Group3	sample_14	Condition2
sample_14_Cell13_Group3	SCSimulation	57836	897	Group3	sample_14	Condition2
sample_15_Cell1_Group3	SCSimulation	65908	915	Group3	sample_15	Condition1
sample_15_Cell2_Group3	SCSimulation	62254	908	Group3	sample_15	Condition1
sample_15_Cell3_Group3	SCSimulation	62100	922	Group3	sample_15	Condition1
sample_15_Cell4_Group3	SCSimulation	60327	901	Group3	sample_15	Condition1
sample_15_Cell5_Group3	SCSimulation	69049	909	Group3	sample_15	Condition1
sample_15_Cell6_Group3	SCSimulation	59386	897	Group3	sample_15	Condition1
sample_15_Cell7_Group3	SCSimulation	58862	896	Group3	sample_15	Condition1
sample_15_Cell8_Group3	SCSimulation	74616	914	Group3	sample_15	Condition1
sample_15_Cell9_Group3	SCSimulation	71892	899	Group3	sample_15	Condition1
sample_15_Cell10_Group3	SCSimulation	63133	917	Group3	sample_15	Condition1
sample_15_Cell11_Group3	SCSimulation	61607	910	Group3	sample_15	Condition1
sample_15_Cell12_Group3	SCSimulation	58084	898	Group3	sample_15	Condition1
sample_15_Cell13_Group3	SCSimulation	69269	903	Group3	sample_15	Condition1
sample_16_Cell1_Group3	SCSimulation	66122	908	Group3	sample_16	Condition1
sample_16_Cell2_Group3	SCSimulation	67202	907	Group3	sample_16	Condition1
sample_16_Cell3_Group3	SCSimulation	60914	895	Group3	sample_16	Condition1
sample_16_Cell4_Group3	SCSimulation	74193	922	Group3	sample_16	Condition1
sample_16_Cell5_Group3	SCSimulation	44488	887	Group3	sample_16	Condition1
sample_16_Cell6_Group3	SCSimulation	62469	899	Group3	sample_16	Condition1
sample_16_Cell7_Group3	SCSimulation	81461	927	Group3	sample_16	Condition1
sample_16_Cell8_Group3	SCSimulation	77714	918	Group3	sample_16	Condition1
sample_16_Cell9_Group3	SCSimulation	60277	914	Group3	sample_16	Condition1
sample_16_Cell10_Group3	SCSimulation	58271	892	Group3	sample_16	Condition1
sample_16_Cell11_Group3	SCSimulation	63103	906	Group3	sample_16	Condition1
sample_16_Cell12_Group3	SCSimulation	70631	920	Group3	sample_16	Condition1
sample_16_Cell13_Group3	SCSimulation	55929	903	Group3	sample_16	Condition1
sample_17_Cell1_Group3	SCSimulation	51132	895	Group3	sample_17	Condition1
sample_17_Cell2_Group3	SCSimulation	55706	896	Group3	sample_17	Condition1
sample_17_Cell3_Group3	SCSimulation	61879	910	Group3	sample_17	Condition1
sample_17_Cell4_Group3	SCSimulation	52533	887	Group3	sample_17	Condition1
sample_17_Cell5_Group3	SCSimulation	71284	924	Group3	sample_17	Condition1
sample_17_Cell6_Group3	SCSimulation	63206	905	Group3	sample_17	Condition1
sample_17_Cell7_Group3	SCSimulation	41470	879	Group3	sample_17	Condition1
sample_17_Cell8_Group3	SCSimulation	72873	912	Group3	sample_17	Condition1
sample_17_Cell9_Group3	SCSimulation	76188	916	Group3	sample_17	Condition1
sample_17_Cell10_Group3	SCSimulation	61117	908	Group3	sample_17	Condition1
sample_17_Cell11_Group3	SCSimulation	45656	890	Group3	sample_17	Condition1
sample_17_Cell12_Group3	SCSimulation	43696	874	Group3	sample_17	Condition1
sample_17_Cell13_Group3	SCSimulation	61044	899	Group3	sample_17	Condition1
sample_18_Cell1_Group3	SCSimulation	42260	886	Group3	sample_18	Condition2
sample_18_Cell2_Group3	SCSimulation	58179	893	Group3	sample_18	Condition2
sample_18_Cell3_Group3	SCSimulation	53955	899	Group3	sample_18	Condition2
sample_18_Cell4_Group3	SCSimulation	62100	904	Group3	sample_18	Condition2
sample_18_Cell5_Group3	SCSimulation	68731	914	Group3	sample_18	Condition2
sample_18_Cell6_Group3	SCSimulation	66280	905	Group3	sample_18	Condition2
sample_18_Cell7_Group3	SCSimulation	53993	899	Group3	sample_18	Condition2
sample_18_Cell8_Group3	SCSimulation	50684	887	Group3	sample_18	Condition2
sample_18_Cell9_Group3	SCSimulation	74127	927	Group3	sample_18	Condition2
sample_18_Cell10_Group3	SCSimulation	65193	904	Group3	sample_18	Condition2
sample_18_Cell11_Group3	SCSimulation	48091	885	Group3	sample_18	Condition2
sample_18_Cell12_Group3	SCSimulation	38126	871	Group3	sample_18	Condition2
sample_18_Cell13_Group3	SCSimulation	62058	902	Group3	sample_18	Condition2
sample_19_Cell1_Group3	SCSimulation	58055	909	Group3	sample_19	Condition2
sample_19_Cell2_Group3	SCSimulation	64873	922	Group3	sample_19	Condition2
sample_19_Cell3_Group3	SCSimulation	81218	914	Group3	sample_19	Condition2
sample_19_Cell4_Group3	SCSimulation	67170	900	Group3	sample_19	Condition2
sample_19_Cell5_Group3	SCSimulation	68100	909	Group3	sample_19	Condition2
sample_19_Cell6_Group3	SCSimulation	56692	893	Group3	sample_19	Condition2
sample_19_Cell7_Group3	SCSimulation	60247	904	Group3	sample_19	Condition2
sample_19_Cell8_Group3	SCSimulation	63396	904	Group3	sample_19	Condition2
sample_19_Cell9_Group3	SCSimulation	48532	883	Group3	sample_19	Condition2
sample_19_Cell10_Group3	SCSimulation	69570	916	Group3	sample_19	Condition2
sample_19_Cell11_Group3	SCSimulation	60818	900	Group3	sample_19	Condition2
sample_19_Cell12_Group3	SCSimulation	60506	905	Group3	sample_19	Condition2
sample_19_Cell13_Group3	SCSimulation	52503	888	Group3	sample_19	Condition2
sample_20_Cell1_Group3	SCSimulation	52373	900	Group3	sample_20	Condition2
sample_20_Cell2_Group3	SCSimulation	56448	902	Group3	sample_20	Condition2
sample_20_Cell3_Group3	SCSimulation	52802	891	Group3	sample_20	Condition2
sample_20_Cell4_Group3	SCSimulation	66921	916	Group3	sample_20	Condition2
sample_20_Cell5_Group3	SCSimulation	56979	904	Group3	sample_20	Condition2
sample_20_Cell6_Group3	SCSimulation	62670	904	Group3	sample_20	Condition2
sample_20_Cell7_Group3	SCSimulation	52747	893	Group3	sample_20	Condition2
sample_20_Cell8_Group3	SCSimulation	46560	886	Group3	sample_20	Condition2
sample_20_Cell9_Group3	SCSimulation	71574	912	Group3	sample_20	Condition2
sample_20_Cell10_Group3	SCSimulation	58798	906	Group3	sample_20	Condition2
sample_20_Cell11_Group3	SCSimulation	61728	914	Group3	sample_20	Condition2
sample_20_Cell12_Group3	SCSimulation	56597	899	Group3	sample_20	Condition2
sample_20_Cell13_Group3	SCSimulation	62850	903	Group3	sample_20	Condition2
