orig.ident	nCount_RNA	nFeature_RNA	Group	Sample	Condition
sample_03_Cell16_Group4	SCSimulation	71724	909	Group4	sample_03	Condition1
sample_03_Cell17_Group4	SCSimulation	77321	930	Group4	sample_03	Condition1
sample_03_Cell18_Group4	SCSimulation	47506	899	Group4	sample_03	Condition1
sample_03_Cell19_Group4	SCSimulation	73915	926	Group4	sample_03	Condition1
sample_03_Cell20_Group4	SCSimulation	67907	912	Group4	sample_03	Condition1
sample_03_Cell21_Group4	SCSimulation	65045	914	Group4	sample_03	Condition1
sample_03_Cell22_Group4	SCSimulation	44890	887	Group4	sample_03	Condition1
sample_03_Cell23_Group4	SCSimulation	48585	899	Group4	sample_03	Condition1
sample_03_Cell24_Group4	SCSimulation	79334	916	Group4	sample_03	Condition1
sample_03_Cell25_Group4	SCSimulation	56676	903	Group4	sample_03	Condition1
sample_03_Cell26_Group4	SCSimulation	65553	912	Group4	sample_03	Condition1
sample_03_Cell27_Group4	SCSimulation	70374	918	Group4	sample_03	Condition1
sample_04_Cell1_Group4	SCSimulation	37644	890	Group4	sample_04	Condition2
sample_04_Cell2_Group4	SCSimulation	82777	931	Group4	sample_04	Condition2
sample_04_Cell3_Group4	SCSimulation	52220	909	Group4	sample_04	Condition2
sample_04_Cell4_Group4	SCSimulation	37923	881	Group4	sample_04	Condition2
sample_04_Cell5_Group4	SCSimulation	58412	912	Group4	sample_04	Condition2
sample_04_Cell6_Group4	SCSimulation	72609	915	Group4	sample_04	Condition2
sample_04_Cell7_Group4	SCSimulation	55161	919	Group4	sample_04	Condition2
sample_04_Cell8_Group4	SCSimulation	73250	917	Group4	sample_04	Condition2
sample_04_Cell9_Group4	SCSimulation	62895	911	Group4	sample_04	Condition2
sample_04_Cell10_Group4	SCSimulation	51414	898	Group4	sample_04	Condition2
sample_04_Cell11_Group4	SCSimulation	58982	914	Group4	sample_04	Condition2
sample_04_Cell12_Group4	SCSimulation	50656	894	Group4	sample_04	Condition2
sample_04_Cell13_Group4	SCSimulation	70257	917	Group4	sample_04	Condition2
sample_04_Cell14_Group4	SCSimulation	63487	922	Group4	sample_04	Condition2
sample_04_Cell15_Group4	SCSimulation	51268	899	Group4	sample_04	Condition2
sample_04_Cell16_Group4	SCSimulation	68277	919	Group4	sample_04	Condition2
sample_04_Cell17_Group4	SCSimulation	75567	922	Group4	sample_04	Condition2
sample_04_Cell18_Group4	SCSimulation	44925	894	Group4	sample_04	Condition2
sample_04_Cell19_Group4	SCSimulation	59252	910	Group4	sample_04	Condition2
sample_04_Cell20_Group4	SCSimulation	57829	912	Group4	sample_04	Condition2
sample_04_Cell21_Group4	SCSimulation	53131	898	Group4	sample_04	Condition2
sample_04_Cell22_Group4	SCSimulation	59187	917	Group4	sample_04	Condition2
sample_04_Cell23_Group4	SCSimulation	46004	895	Group4	sample_04	Condition2
sample_04_Cell24_Group4	SCSimulation	56216	907	Group4	sample_04	Condition2
sample_04_Cell25_Group4	SCSimulation	37416	880	Group4	sample_04	Condition2
sample_04_Cell26_Group4	SCSimulation	47443	904	Group4	sample_04	Condition2
sample_04_Cell27_Group4	SCSimulation	87932	925	Group4	sample_04	Condition2
sample_05_Cell1_Group4	SCSimulation	46491	895	Group4	sample_05	Condition1
sample_05_Cell2_Group4	SCSimulation	60594	912	Group4	sample_05	Condition1
sample_05_Cell3_Group4	SCSimulation	67221	913	Group4	sample_05	Condition1
sample_05_Cell4_Group4	SCSimulation	43497	882	Group4	sample_05	Condition1
sample_05_Cell5_Group4	SCSimulation	51731	912	Group4	sample_05	Condition1
sample_05_Cell6_Group4	SCSimulation	51062	906	Group4	sample_05	Condition1
sample_05_Cell7_Group4	SCSimulation	70895	927	Group4	sample_05	Condition1
sample_05_Cell8_Group4	SCSimulation	53315	896	Group4	sample_05	Condition1
sample_05_Cell9_Group4	SCSimulation	49448	891	Group4	sample_05	Condition1
sample_05_Cell10_Group4	SCSimulation	53693	900	Group4	sample_05	Condition1
sample_05_Cell11_Group4	SCSimulation	49316	908	Group4	sample_05	Condition1
sample_05_Cell12_Group4	SCSimulation	57794	907	Group4	sample_05	Condition1
sample_05_Cell13_Group4	SCSimulation	67818	915	Group4	sample_05	Condition1
sample_05_Cell14_Group4	SCSimulation	82621	927	Group4	sample_05	Condition1
sample_05_Cell15_Group4	SCSimulation	75992	917	Group4	sample_05	Condition1
sample_05_Cell16_Group4	SCSimulation	73713	914	Group4	sample_05	Condition1
sample_05_Cell17_Group4	SCSimulation	48091	898	Group4	sample_05	Condition1
sample_05_Cell18_Group4	SCSimulation	66574	920	Group4	sample_05	Condition1
sample_05_Cell19_Group4	SCSimulation	74803	924	Group4	sample_05	Condition1
sample_05_Cell20_Group4	SCSimulation	63845	913	Group4	sample_05	Condition1
sample_05_Cell21_Group4	SCSimulation	53761	907	Group4	sample_05	Condition1
sample_05_Cell22_Group4	SCSimulation	57093	912	Group4	sample_05	Condition1
sample_05_Cell23_Group4	SCSimulation	54887	911	Group4	sample_05	Condition1
sample_05_Cell24_Group4	SCSimulation	68714	909	Group4	sample_05	Condition1
sample_05_Cell25_Group4	SCSimulation	56668	896	Group4	sample_05	Condition1
sample_05_Cell26_Group4	SCSimulation	69863	908	Group4	sample_05	Condition1
sample_05_Cell27_Group4	SCSimulation	47573	896	Group4	sample_05	Condition1
sample_06_Cell1_Group4	SCSimulation	50344	910	Group4	sample_06	Condition1
sample_06_Cell2_Group4	SCSimulation	56371	904	Group4	sample_06	Condition1
sample_06_Cell3_Group4	SCSimulation	50591	903	Group4	sample_06	Condition1
sample_06_Cell4_Group4	SCSimulation	39464	872	Group4	sample_06	Condition1
sample_06_Cell5_Group4	SCSimulation	71003	915	Group4	sample_06	Condition1
sample_06_Cell6_Group4	SCSimulation	93576	934	Group4	sample_06	Condition1
sample_06_Cell7_Group4	SCSimulation	65494	923	Group4	sample_06	Condition1
sample_06_Cell8_Group4	SCSimulation	49348	910	Group4	sample_06	Condition1
sample_06_Cell9_Group4	SCSimulation	60831	909	Group4	sample_06	Condition1
sample_06_Cell10_Group4	SCSimulation	67245	916	Group4	sample_06	Condition1
sample_06_Cell11_Group4	SCSimulation	84672	928	Group4	sample_06	Condition1
sample_06_Cell12_Group4	SCSimulation	65421	909	Group4	sample_06	Condition1
sample_06_Cell13_Group4	SCSimulation	59737	904	Group4	sample_06	Condition1
sample_06_Cell14_Group4	SCSimulation	51656	895	Group4	sample_06	Condition1
sample_06_Cell15_Group4	SCSimulation	46502	894	Group4	sample_06	Condition1
sample_06_Cell16_Group4	SCSimulation	60320	910	Group4	sample_06	Condition1
sample_06_Cell17_Group4	SCSimulation	64770	916	Group4	sample_06	Condition1
sample_06_Cell18_Group4	SCSimulation	72234	918	Group4	sample_06	Condition1
sample_06_Cell19_Group4	SCSimulation	44554	895	Group4	sample_06	Condition1
sample_06_Cell20_Group4	SCSimulation	57732	903	Group4	sample_06	Condition1
sample_06_Cell21_Group4	SCSimulation	59650	911	Group4	sample_06	Condition1
sample_06_Cell22_Group4	SCSimulation	53753	901	Group4	sample_06	Condition1
sample_06_Cell23_Group4	SCSimulation	78953	913	Group4	sample_06	Condition1
sample_06_Cell24_Group4	SCSimulation	76198	923	Group4	sample_06	Condition1
sample_06_Cell25_Group4	SCSimulation	59322	911	Group4	sample_06	Condition1
sample_06_Cell26_Group4	SCSimulation	67087	906	Group4	sample_06	Condition1
sample_06_Cell27_Group4	SCSimulation	73443	917	Group4	sample_06	Condition1
sample_07_Cell1_Group4	SCSimulation	47782	897	Group4	sample_07	Condition1
sample_07_Cell2_Group4	SCSimulation	54689	902	Group4	sample_07	Condition1
sample_07_Cell3_Group4	SCSimulation	57227	905	Group4	sample_07	Condition1
sample_07_Cell4_Group4	SCSimulation	35537	884	Group4	sample_07	Condition1
sample_07_Cell5_Group4	SCSimulation	58026	915	Group4	sample_07	Condition1
sample_07_Cell6_Group4	SCSimulation	49594	891	Group4	sample_07	Condition1
sample_07_Cell7_Group4	SCSimulation	78043	913	Group4	sample_07	Condition1
sample_07_Cell8_Group4	SCSimulation	67508	916	Group4	sample_07	Condition1
sample_07_Cell9_Group4	SCSimulation	60669	908	Group4	sample_07	Condition1
sample_07_Cell10_Group4	SCSimulation	51463	904	Group4	sample_07	Condition1
sample_07_Cell11_Group4	SCSimulation	68181	915	Group4	sample_07	Condition1
sample_07_Cell12_Group4	SCSimulation	62838	914	Group4	sample_07	Condition1
sample_07_Cell13_Group4	SCSimulation	45943	889	Group4	sample_07	Condition1
sample_07_Cell14_Group4	SCSimulation	45899	892	Group4	sample_07	Condition1
sample_07_Cell15_Group4	SCSimulation	59321	902	Group4	sample_07	Condition1
sample_07_Cell16_Group4	SCSimulation	70104	918	Group4	sample_07	Condition1
sample_07_Cell17_Group4	SCSimulation	96827	916	Group4	sample_07	Condition1
sample_07_Cell18_Group4	SCSimulation	66668	923	Group4	sample_07	Condition1
sample_07_Cell19_Group4	SCSimulation	64174	909	Group4	sample_07	Condition1
sample_07_Cell20_Group4	SCSimulation	41448	888	Group4	sample_07	Condition1
sample_07_Cell21_Group4	SCSimulation	56373	910	Group4	sample_07	Condition1
sample_07_Cell22_Group4	SCSimulation	64448	915	Group4	sample_07	Condition1
sample_07_Cell23_Group4	SCSimulation	69246	914	Group4	sample_07	Condition1
sample_07_Cell24_Group4	SCSimulation	44279	895	Group4	sample_07	Condition1
sample_07_Cell25_Group4	SCSimulation	59130	905	Group4	sample_07	Condition1
sample_07_Cell26_Group4	SCSimulation	48265	902	Group4	sample_07	Condition1
sample_07_Cell27_Group4	SCSimulation	45668	893	Group4	sample_07	Condition1
sample_08_Cell1_Group4	SCSimulation	62530	909	Group4	sample_08	Condition2
sample_08_Cell2_Group4	SCSimulation	46375	890	Group4	sample_08	Condition2
sample_08_Cell3_Group4	SCSimulation	64086	913	Group4	sample_08	Condition2
sample_08_Cell4_Group4	SCSimulation	64587	912	Group4	sample_08	Condition2
sample_08_Cell5_Group4	SCSimulation	72199	925	Group4	sample_08	Condition2
sample_08_Cell6_Group4	SCSimulation	62119	913	Group4	sample_08	Condition2
sample_08_Cell7_Group4	SCSimulation	52413	903	Group4	sample_08	Condition2
sample_08_Cell8_Group4	SCSimulation	55215	902	Group4	sample_08	Condition2
sample_08_Cell9_Group4	SCSimulation	54740	898	Group4	sample_08	Condition2
sample_08_Cell10_Group4	SCSimulation	68261	909	Group4	sample_08	Condition2
sample_08_Cell11_Group4	SCSimulation	108676	929	Group4	sample_08	Condition2
sample_08_Cell12_Group4	SCSimulation	72467	921	Group4	sample_08	Condition2
sample_08_Cell13_Group4	SCSimulation	64036	910	Group4	sample_08	Condition2
sample_08_Cell14_Group4	SCSimulation	62047	910	Group4	sample_08	Condition2
sample_08_Cell15_Group4	SCSimulation	45041	887	Group4	sample_08	Condition2
sample_08_Cell16_Group4	SCSimulation	73514	921	Group4	sample_08	Condition2
sample_08_Cell17_Group4	SCSimulation	58462	898	Group4	sample_08	Condition2
sample_08_Cell18_Group4	SCSimulation	57602	915	Group4	sample_08	Condition2
sample_08_Cell19_Group4	SCSimulation	49959	897	Group4	sample_08	Condition2
sample_08_Cell20_Group4	SCSimulation	62139	900	Group4	sample_08	Condition2
sample_08_Cell21_Group4	SCSimulation	55570	898	Group4	sample_08	Condition2
sample_08_Cell22_Group4	SCSimulation	57959	903	Group4	sample_08	Condition2
sample_08_Cell23_Group4	SCSimulation	89210	930	Group4	sample_08	Condition2
sample_08_Cell24_Group4	SCSimulation	54052	914	Group4	sample_08	Condition2
sample_08_Cell25_Group4	SCSimulation	64048	907	Group4	sample_08	Condition2
sample_08_Cell26_Group4	SCSimulation	34608	870	Group4	sample_08	Condition2
sample_08_Cell27_Group4	SCSimulation	96091	929	Group4	sample_08	Condition2
sample_09_Cell1_Group4	SCSimulation	55319	902	Group4	sample_09	Condition2
sample_09_Cell2_Group4	SCSimulation	54573	900	Group4	sample_09	Condition2
sample_09_Cell3_Group4	SCSimulation	58129	902	Group4	sample_09	Condition2
sample_09_Cell4_Group4	SCSimulation	80716	931	Group4	sample_09	Condition2
sample_09_Cell5_Group4	SCSimulation	55028	911	Group4	sample_09	Condition2
sample_09_Cell6_Group4	SCSimulation	60087	909	Group4	sample_09	Condition2
sample_09_Cell7_Group4	SCSimulation	54485	902	Group4	sample_09	Condition2
sample_09_Cell8_Group4	SCSimulation	59604	897	Group4	sample_09	Condition2
sample_09_Cell9_Group4	SCSimulation	91409	929	Group4	sample_09	Condition2
sample_09_Cell10_Group4	SCSimulation	71306	916	Group4	sample_09	Condition2
sample_09_Cell11_Group4	SCSimulation	52413	902	Group4	sample_09	Condition2
sample_09_Cell12_Group4	SCSimulation	68209	913	Group4	sample_09	Condition2
sample_09_Cell13_Group4	SCSimulation	73428	915	Group4	sample_09	Condition2
sample_09_Cell14_Group4	SCSimulation	50725	893	Group4	sample_09	Condition2
sample_09_Cell15_Group4	SCSimulation	55814	900	Group4	sample_09	Condition2
sample_09_Cell16_Group4	SCSimulation	59271	910	Group4	sample_09	Condition2
sample_09_Cell17_Group4	SCSimulation	63914	910	Group4	sample_09	Condition2
sample_09_Cell18_Group4	SCSimulation	69366	918	Group4	sample_09	Condition2
sample_09_Cell19_Group4	SCSimulation	73253	915	Group4	sample_09	Condition2
sample_09_Cell20_Group4	SCSimulation	48810	897	Group4	sample_09	Condition2
sample_09_Cell21_Group4	SCSimulation	63132	910	Group4	sample_09	Condition2
sample_09_Cell22_Group4	SCSimulation	44871	897	Group4	sample_09	Condition2
sample_09_Cell23_Group4	SCSimulation	68439	919	Group4	sample_09	Condition2
sample_09_Cell24_Group4	SCSimulation	74030	913	Group4	sample_09	Condition2
sample_09_Cell25_Group4	SCSimulation	61428	910	Group4	sample_09	Condition2
sample_09_Cell26_Group4	SCSimulation	61626	905	Group4	sample_09	Condition2
sample_09_Cell27_Group4	SCSimulation	70765	914	Group4	sample_09	Condition2
sample_10_Cell1_Group4	SCSimulation	73371	916	Group4	sample_10	Condition1
sample_10_Cell2_Group4	SCSimulation	72007	911	Group4	sample_10	Condition1
sample_10_Cell3_Group4	SCSimulation	68372	919	Group4	sample_10	Condition1
sample_10_Cell4_Group4	SCSimulation	67225	915	Group4	sample_10	Condition1
sample_10_Cell5_Group4	SCSimulation	44585	886	Group4	sample_10	Condition1
sample_10_Cell6_Group4	SCSimulation	60061	908	Group4	sample_10	Condition1
sample_10_Cell7_Group4	SCSimulation	74728	918	Group4	sample_10	Condition1
sample_10_Cell8_Group4	SCSimulation	63627	908	Group4	sample_10	Condition1
sample_10_Cell9_Group4	SCSimulation	54260	906	Group4	sample_10	Condition1
sample_10_Cell10_Group4	SCSimulation	45078	895	Group4	sample_10	Condition1
sample_10_Cell11_Group4	SCSimulation	65120	902	Group4	sample_10	Condition1
sample_10_Cell12_Group4	SCSimulation	61601	915	Group4	sample_10	Condition1
sample_10_Cell13_Group4	SCSimulation	57548	918	Group4	sample_10	Condition1
sample_10_Cell14_Group4	SCSimulation	72290	923	Group4	sample_10	Condition1
sample_10_Cell15_Group4	SCSimulation	91576	929	Group4	sample_10	Condition1
sample_10_Cell16_Group4	SCSimulation	55266	897	Group4	sample_10	Condition1
sample_10_Cell17_Group4	SCSimulation	62452	906	Group4	sample_10	Condition1
sample_10_Cell18_Group4	SCSimulation	64532	914	Group4	sample_10	Condition1
sample_10_Cell19_Group4	SCSimulation	56930	908	Group4	sample_10	Condition1
sample_10_Cell20_Group4	SCSimulation	56363	897	Group4	sample_10	Condition1
sample_10_Cell21_Group4	SCSimulation	62593	915	Group4	sample_10	Condition1
sample_10_Cell22_Group4	SCSimulation	63849	916	Group4	sample_10	Condition1
sample_10_Cell23_Group4	SCSimulation	60516	908	Group4	sample_10	Condition1
sample_10_Cell24_Group4	SCSimulation	60512	914	Group4	sample_10	Condition1
sample_10_Cell25_Group4	SCSimulation	67435	914	Group4	sample_10	Condition1
sample_10_Cell26_Group4	SCSimulation	54515	907	Group4	sample_10	Condition1
sample_10_Cell27_Group4	SCSimulation	52217	897	Group4	sample_10	Condition1
sample_11_Cell1_Group4	SCSimulation	59471	905	Group4	sample_11	Condition2
sample_11_Cell2_Group4	SCSimulation	55246	908	Group4	sample_11	Condition2
sample_11_Cell3_Group4	SCSimulation	63076	903	Group4	sample_11	Condition2
sample_11_Cell4_Group4	SCSimulation	46270	893	Group4	sample_11	Condition2
sample_11_Cell5_Group4	SCSimulation	79476	919	Group4	sample_11	Condition2
sample_11_Cell6_Group4	SCSimulation	73525	915	Group4	sample_11	Condition2
sample_11_Cell7_Group4	SCSimulation	40923	878	Group4	sample_11	Condition2
sample_11_Cell8_Group4	SCSimulation	67764	914	Group4	sample_11	Condition2
sample_11_Cell9_Group4	SCSimulation	61784	906	Group4	sample_11	Condition2
sample_11_Cell10_Group4	SCSimulation	54850	913	Group4	sample_11	Condition2
sample_11_Cell11_Group4	SCSimulation	63756	910	Group4	sample_11	Condition2
sample_11_Cell12_Group4	SCSimulation	73199	924	Group4	sample_11	Condition2
sample_11_Cell13_Group4	SCSimulation	82872	925	Group4	sample_11	Condition2
sample_11_Cell14_Group4	SCSimulation	72769	916	Group4	sample_11	Condition2
sample_11_Cell15_Group4	SCSimulation	49878	901	Group4	sample_11	Condition2
sample_11_Cell16_Group4	SCSimulation	60474	909	Group4	sample_11	Condition2
sample_11_Cell17_Group4	SCSimulation	70568	917	Group4	sample_11	Condition2
sample_11_Cell18_Group4	SCSimulation	55839	911	Group4	sample_11	Condition2
sample_11_Cell19_Group4	SCSimulation	79071	927	Group4	sample_11	Condition2
sample_11_Cell20_Group4	SCSimulation	53252	892	Group4	sample_11	Condition2
sample_11_Cell21_Group4	SCSimulation	55966	902	Group4	sample_11	Condition2
sample_11_Cell22_Group4	SCSimulation	54371	904	Group4	sample_11	Condition2
sample_11_Cell23_Group4	SCSimulation	64751	911	Group4	sample_11	Condition2
sample_11_Cell24_Group4	SCSimulation	74165	916	Group4	sample_11	Condition2
sample_11_Cell25_Group4	SCSimulation	46069	882	Group4	sample_11	Condition2
sample_11_Cell26_Group4	SCSimulation	56480	910	Group4	sample_11	Condition2
sample_11_Cell27_Group4	SCSimulation	76307	923	Group4	sample_11	Condition2
sample_12_Cell1_Group4	SCSimulation	62031	908	Group4	sample_12	Condition1
sample_12_Cell2_Group4	SCSimulation	94535	919	Group4	sample_12	Condition1
sample_12_Cell3_Group4	SCSimulation	91539	931	Group4	sample_12	Condition1
sample_12_Cell4_Group4	SCSimulation	57946	903	Group4	sample_12	Condition1
sample_12_Cell5_Group4	SCSimulation	57695	900	Group4	sample_12	Condition1
sample_12_Cell6_Group4	SCSimulation	45707	888	Group4	sample_12	Condition1
sample_12_Cell7_Group4	SCSimulation	48840	888	Group4	sample_12	Condition1
sample_12_Cell8_Group4	SCSimulation	55743	903	Group4	sample_12	Condition1
sample_12_Cell9_Group4	SCSimulation	76259	928	Group4	sample_12	Condition1
sample_12_Cell10_Group4	SCSimulation	64264	913	Group4	sample_12	Condition1
sample_12_Cell11_Group4	SCSimulation	63641	905	Group4	sample_12	Condition1
sample_12_Cell12_Group4	SCSimulation	59476	901	Group4	sample_12	Condition1
sample_12_Cell13_Group4	SCSimulation	70582	906	Group4	sample_12	Condition1
sample_12_Cell14_Group4	SCSimulation	47175	893	Group4	sample_12	Condition1
sample_12_Cell15_Group4	SCSimulation	44592	890	Group4	sample_12	Condition1
sample_12_Cell16_Group4	SCSimulation	70858	913	Group4	sample_12	Condition1
sample_12_Cell17_Group4	SCSimulation	71828	922	Group4	sample_12	Condition1
sample_12_Cell18_Group4	SCSimulation	41564	880	Group4	sample_12	Condition1
sample_12_Cell19_Group4	SCSimulation	43863	884	Group4	sample_12	Condition1
sample_12_Cell20_Group4	SCSimulation	51897	892	Group4	sample_12	Condition1
sample_12_Cell21_Group4	SCSimulation	47241	892	Group4	sample_12	Condition1
sample_12_Cell22_Group4	SCSimulation	54477	899	Group4	sample_12	Condition1
sample_12_Cell23_Group4	SCSimulation	76594	914	Group4	sample_12	Condition1
sample_12_Cell24_Group4	SCSimulation	55651	899	Group4	sample_12	Condition1
sample_12_Cell25_Group4	SCSimulation	83776	927	Group4	sample_12	Condition1
sample_12_Cell26_Group4	SCSimulation	58096	898	Group4	sample_12	Condition1
sample_12_Cell27_Group4	SCSimulation	51972	882	Group4	sample_12	Condition1
sample_13_Cell1_Group4	SCSimulation	51334	908	Group4	sample_13	Condition2
sample_13_Cell2_Group4	SCSimulation	51290	901	Group4	sample_13	Condition2
sample_13_Cell3_Group4	SCSimulation	67181	922	Group4	sample_13	Condition2
sample_13_Cell4_Group4	SCSimulation	52875	901	Group4	sample_13	Condition2
sample_13_Cell5_Group4	SCSimulation	72426	918	Group4	sample_13	Condition2
sample_13_Cell6_Group4	SCSimulation	71904	920	Group4	sample_13	Condition2
sample_13_Cell7_Group4	SCSimulation	55444	908	Group4	sample_13	Condition2
sample_13_Cell8_Group4	SCSimulation	49874	902	Group4	sample_13	Condition2
sample_13_Cell9_Group4	SCSimulation	87333	927	Group4	sample_13	Condition2
sample_13_Cell10_Group4	SCSimulation	55354	907	Group4	sample_13	Condition2
sample_13_Cell11_Group4	SCSimulation	53445	902	Group4	sample_13	Condition2
sample_13_Cell12_Group4	SCSimulation	48534	898	Group4	sample_13	Condition2
sample_13_Cell13_Group4	SCSimulation	54094	907	Group4	sample_13	Condition2
sample_13_Cell14_Group4	SCSimulation	67248	926	Group4	sample_13	Condition2
sample_13_Cell15_Group4	SCSimulation	45515	897	Group4	sample_13	Condition2
sample_13_Cell16_Group4	SCSimulation	75902	915	Group4	sample_13	Condition2
sample_13_Cell17_Group4	SCSimulation	52088	905	Group4	sample_13	Condition2
sample_13_Cell18_Group4	SCSimulation	52261	898	Group4	sample_13	Condition2
sample_13_Cell19_Group4	SCSimulation	51344	909	Group4	sample_13	Condition2
sample_13_Cell20_Group4	SCSimulation	73473	935	Group4	sample_13	Condition2
sample_13_Cell21_Group4	SCSimulation	44751	898	Group4	sample_13	Condition2
sample_13_Cell22_Group4	SCSimulation	46816	888	Group4	sample_13	Condition2
sample_13_Cell23_Group4	SCSimulation	70650	914	Group4	sample_13	Condition2
sample_13_Cell24_Group4	SCSimulation	72846	924	Group4	sample_13	Condition2
