orig.ident	nCount_RNA	nFeature_RNA	Group	Sample	Condition
sample_09_Cell7_Group1	SCSimulation	82862	928	Group1	sample_09	Condition2
sample_09_Cell8_Group1	SCSimulation	85477	934	Group1	sample_09	Condition2
sample_09_Cell9_Group1	SCSimulation	66163	912	Group1	sample_09	Condition2
sample_10_Cell1_Group1	SCSimulation	78621	918	Group1	sample_10	Condition1
sample_10_Cell2_Group1	SCSimulation	70217	912	Group1	sample_10	Condition1
sample_10_Cell3_Group1	SCSimulation	73374	914	Group1	sample_10	Condition1
sample_10_Cell4_Group1	SCSimulation	54127	895	Group1	sample_10	Condition1
sample_10_Cell5_Group1	SCSimulation	69931	916	Group1	sample_10	Condition1
sample_10_Cell6_Group1	SCSimulation	50597	883	Group1	sample_10	Condition1
sample_10_Cell7_Group1	SCSimulation	62682	905	Group1	sample_10	Condition1
sample_10_Cell8_Group1	SCSimulation	53041	890	Group1	sample_10	Condition1
sample_10_Cell9_Group1	SCSimulation	55756	899	Group1	sample_10	Condition1
sample_11_Cell1_Group1	SCSimulation	55457	904	Group1	sample_11	Condition2
sample_11_Cell2_Group1	SCSimulation	66755	910	Group1	sample_11	Condition2
sample_11_Cell3_Group1	SCSimulation	71960	923	Group1	sample_11	Condition2
sample_11_Cell4_Group1	SCSimulation	48332	888	Group1	sample_11	Condition2
sample_11_Cell5_Group1	SCSimulation	47276	897	Group1	sample_11	Condition2
sample_11_Cell6_Group1	SCSimulation	48125	897	Group1	sample_11	Condition2
sample_11_Cell7_Group1	SCSimulation	60278	912	Group1	sample_11	Condition2
sample_11_Cell8_Group1	SCSimulation	49052	898	Group1	sample_11	Condition2
sample_11_Cell9_Group1	SCSimulation	62711	907	Group1	sample_11	Condition2
sample_12_Cell1_Group1	SCSimulation	45610	887	Group1	sample_12	Condition1
sample_12_Cell2_Group1	SCSimulation	64399	894	Group1	sample_12	Condition1
sample_12_Cell3_Group1	SCSimulation	78203	921	Group1	sample_12	Condition1
sample_12_Cell4_Group1	SCSimulation	58174	909	Group1	sample_12	Condition1
sample_12_Cell5_Group1	SCSimulation	66154	914	Group1	sample_12	Condition1
sample_12_Cell6_Group1	SCSimulation	59260	891	Group1	sample_12	Condition1
sample_12_Cell7_Group1	SCSimulation	64688	908	Group1	sample_12	Condition1
sample_12_Cell8_Group1	SCSimulation	57175	906	Group1	sample_12	Condition1
sample_12_Cell9_Group1	SCSimulation	65575	906	Group1	sample_12	Condition1
sample_13_Cell1_Group1	SCSimulation	65313	907	Group1	sample_13	Condition2
sample_13_Cell2_Group1	SCSimulation	42754	880	Group1	sample_13	Condition2
sample_13_Cell3_Group1	SCSimulation	58907	913	Group1	sample_13	Condition2
sample_13_Cell4_Group1	SCSimulation	47086	893	Group1	sample_13	Condition2
sample_13_Cell5_Group1	SCSimulation	56660	906	Group1	sample_13	Condition2
sample_13_Cell6_Group1	SCSimulation	66480	919	Group1	sample_13	Condition2
sample_13_Cell7_Group1	SCSimulation	64991	917	Group1	sample_13	Condition2
sample_13_Cell8_Group1	SCSimulation	82617	915	Group1	sample_13	Condition2
sample_13_Cell9_Group1	SCSimulation	61847	900	Group1	sample_13	Condition2
sample_14_Cell1_Group1	SCSimulation	58399	904	Group1	sample_14	Condition2
sample_14_Cell2_Group1	SCSimulation	79484	925	Group1	sample_14	Condition2
sample_14_Cell3_Group1	SCSimulation	63227	918	Group1	sample_14	Condition2
sample_14_Cell4_Group1	SCSimulation	60648	904	Group1	sample_14	Condition2
sample_14_Cell5_Group1	SCSimulation	62825	903	Group1	sample_14	Condition2
sample_14_Cell6_Group1	SCSimulation	52442	901	Group1	sample_14	Condition2
sample_14_Cell7_Group1	SCSimulation	45655	885	Group1	sample_14	Condition2
sample_14_Cell8_Group1	SCSimulation	61371	899	Group1	sample_14	Condition2
sample_14_Cell9_Group1	SCSimulation	69066	913	Group1	sample_14	Condition2
sample_15_Cell1_Group1	SCSimulation	48986	890	Group1	sample_15	Condition1
sample_15_Cell2_Group1	SCSimulation	67367	908	Group1	sample_15	Condition1
sample_15_Cell3_Group1	SCSimulation	85477	927	Group1	sample_15	Condition1
sample_15_Cell4_Group1	SCSimulation	69220	920	Group1	sample_15	Condition1
sample_15_Cell5_Group1	SCSimulation	57291	896	Group1	sample_15	Condition1
sample_15_Cell6_Group1	SCSimulation	60008	903	Group1	sample_15	Condition1
sample_15_Cell7_Group1	SCSimulation	71866	928	Group1	sample_15	Condition1
sample_15_Cell8_Group1	SCSimulation	35356	877	Group1	sample_15	Condition1
sample_15_Cell9_Group1	SCSimulation	75575	925	Group1	sample_15	Condition1
sample_16_Cell1_Group1	SCSimulation	63229	902	Group1	sample_16	Condition1
sample_16_Cell2_Group1	SCSimulation	67571	906	Group1	sample_16	Condition1
sample_16_Cell3_Group1	SCSimulation	56021	904	Group1	sample_16	Condition1
sample_16_Cell4_Group1	SCSimulation	84730	921	Group1	sample_16	Condition1
sample_16_Cell5_Group1	SCSimulation	70198	912	Group1	sample_16	Condition1
sample_16_Cell6_Group1	SCSimulation	58516	904	Group1	sample_16	Condition1
sample_16_Cell7_Group1	SCSimulation	94391	922	Group1	sample_16	Condition1
sample_16_Cell8_Group1	SCSimulation	69301	916	Group1	sample_16	Condition1
sample_16_Cell9_Group1	SCSimulation	76052	916	Group1	sample_16	Condition1
sample_17_Cell1_Group1	SCSimulation	61041	907	Group1	sample_17	Condition1
sample_17_Cell2_Group1	SCSimulation	58208	906	Group1	sample_17	Condition1
sample_17_Cell3_Group1	SCSimulation	94322	924	Group1	sample_17	Condition1
sample_17_Cell4_Group1	SCSimulation	56981	904	Group1	sample_17	Condition1
sample_17_Cell5_Group1	SCSimulation	51315	895	Group1	sample_17	Condition1
sample_17_Cell6_Group1	SCSimulation	60730	907	Group1	sample_17	Condition1
sample_17_Cell7_Group1	SCSimulation	47130	884	Group1	sample_17	Condition1
sample_17_Cell8_Group1	SCSimulation	45577	897	Group1	sample_17	Condition1
sample_17_Cell9_Group1	SCSimulation	55140	899	Group1	sample_17	Condition1
sample_18_Cell1_Group1	SCSimulation	54914	903	Group1	sample_18	Condition2
sample_18_Cell2_Group1	SCSimulation	58440	900	Group1	sample_18	Condition2
sample_18_Cell3_Group1	SCSimulation	49104	888	Group1	sample_18	Condition2
sample_18_Cell4_Group1	SCSimulation	59174	898	Group1	sample_18	Condition2
sample_18_Cell5_Group1	SCSimulation	55483	889	Group1	sample_18	Condition2
sample_18_Cell6_Group1	SCSimulation	54562	893	Group1	sample_18	Condition2
sample_18_Cell7_Group1	SCSimulation	64790	909	Group1	sample_18	Condition2
sample_18_Cell8_Group1	SCSimulation	47593	898	Group1	sample_18	Condition2
sample_18_Cell9_Group1	SCSimulation	54621	897	Group1	sample_18	Condition2
sample_19_Cell1_Group1	SCSimulation	47805	897	Group1	sample_19	Condition2
sample_19_Cell2_Group1	SCSimulation	56505	902	Group1	sample_19	Condition2
sample_19_Cell3_Group1	SCSimulation	87283	918	Group1	sample_19	Condition2
sample_19_Cell4_Group1	SCSimulation	47794	894	Group1	sample_19	Condition2
sample_19_Cell5_Group1	SCSimulation	53422	900	Group1	sample_19	Condition2
sample_19_Cell6_Group1	SCSimulation	52181	884	Group1	sample_19	Condition2
sample_19_Cell7_Group1	SCSimulation	51933	898	Group1	sample_19	Condition2
sample_19_Cell8_Group1	SCSimulation	62400	903	Group1	sample_19	Condition2
sample_19_Cell9_Group1	SCSimulation	45063	906	Group1	sample_19	Condition2
sample_20_Cell1_Group1	SCSimulation	58875	897	Group1	sample_20	Condition2
sample_20_Cell2_Group1	SCSimulation	76696	915	Group1	sample_20	Condition2
sample_20_Cell3_Group1	SCSimulation	83828	930	Group1	sample_20	Condition2
sample_20_Cell4_Group1	SCSimulation	72506	912	Group1	sample_20	Condition2
sample_20_Cell5_Group1	SCSimulation	67481	915	Group1	sample_20	Condition2
sample_20_Cell6_Group1	SCSimulation	59133	918	Group1	sample_20	Condition2
sample_20_Cell7_Group1	SCSimulation	104900	937	Group1	sample_20	Condition2
sample_20_Cell8_Group1	SCSimulation	51474	901	Group1	sample_20	Condition2
sample_20_Cell9_Group1	SCSimulation	92178	922	Group1	sample_20	Condition2
